Date,Mean temperature
20180101,6.7
20180102,7.9
20180103,8.2
20180104,9.5
20180105,7.2
20180106,3.4
20180107,3.5
20180108,3.5
20180109,6.3
20180110,7.5
20180111,5
20180112,6.6
20180113,6.8
20180114,6.5
20180115,7.8
20180116,6.7
20180117,6.8
20180118,6.8
20180119,3.4
20180120,3.1
20180121,5.9
20180122,6
20180123,10.2
20180124,11.3
20180125,8.6
20180126,5.2
20180127,7.2
20180128,9.4
20180129,11.8
20180130,4.4
20180131,5
20180201,4.9
20180202,5.8
20180203,3.8
20180204,4
20180205,2.8
20180206,2.5
20180207,3
20180208,2.6
20180209,3
20180210,4.1
20180211,4.8
20180212,3.1
20180213,3.8
20180214,3.4
20180215,5.9
20180216,5.2
20180217,6.3
20180218,6
20180219,8.4
20180220,8.6
20180221,4.7
20180222,3.7
20180223,1.9
20180224,2.4
20180225,2.1
20180226,0.8
20180227,-1.2
20180228,-3.3
20180301,-2.4
20180302,-1
20180303,2.8
20180304,5.8
20180305,7.3
20180306,7.7
20180307,7.9
20180308,7.5
20180309,5.9
20180310,9.8
20180311,9.2
20180312,9.4
20180313,8.2
20180314,7.4
20180315,10.7
20180316,10.7
20180317,0.5
20180318,-0.3
20180319,1.9
20180320,4.5
20180321,4.7
20180322,8.2
20180323,9.9
20180324,8.2
20180325,9.8
20180326,9.1
20180327,10.3
20180328,7.2
20180329,5.2
20180330,5.5
20180331,6.7
20180401,7
20180402,8
20180403,11.2
20180404,9.4
20180405,7.7
20180406,10.4
20180407,13.2
20180408,10.2
20180409,8.9
20180410,11.3
20180411,8.8
20180412,8.5
20180413,9.8
20180414,13.7
20180415,11.9
20180416,11.9
20180417,14.5
20180418,17.2
20180419,19.9
20180420,18.8
20180421,18
20180422,17.8
20180423,12.2
20180424,14.3
20180425,11.8
20180426,11.3
20180427,9.7
20180428,8.4
20180429,7.3
20180430,8
20180501,8.6
20180502,11.9
20180503,10.8
20180504,14.1
20180505,15.5
20180506,17.7
20180507,19.6
20180508,19.1
20180509,14.8
20180510,13.9
20180511,12.2
20180512,12.7
20180513,13.5
20180514,14.8
20180515,16.6
20180516,13.8
20180517,12.4
20180518,12.1
20180519,14.9
20180520,15.1
20180521,15.9
20180522,17.9
20180523,14.8
20180524,14.9
20180525,15.2
20180526,20.6
20180527,21.3
20180528,20.2
20180529,15.9
20180530,16.3
20180531,18.7
20180601,19.9
20180602,19.6
20180603,20.1
20180604,17.4
20180605,15.4
20180606,16
20180607,17.1
20180608,18.5
20180609,17.5
20180610,19
20180611,18.9
20180612,15.7
20180613,16.4
20180614,19.2
20180615,17.4
20180616,17.2
20180617,16.6
20180618,20.6
20180619,21
20180620,20.4
20180621,15.7
20180622,15.8
20180623,17.9
20180624,19.8
20180625,21.9
20180626,22.1
20180627,20.4
20180628,20.5
20180629,20.9
20180630,20.9
20180701,23.5
20180702,24.2
20180703,21.5
20180704,20.4
20180705,23.4
20180706,23.7
20180707,25
20180708,24.4
20180709,24.2
20180710,19.1
20180711,19.1
20180712,19.4
20180713,21.6
20180714,21.9
20180715,22.8
20180716,22.9
20180717,19.4
20180718,20.8
20180719,21.6
20180720,22
20180721,22.7
20180722,22.9
20180723,25.6
20180724,23.8
20180725,24.3
20180726,26.9
20180727,25.9
20180728,19.6
20180729,18.2
20180730,20.1
20180731,20.7
20180801,19.9
20180802,22.2
20180803,25.4
20180804,24.3
20180805,23.4
20180806,24.5
20180807,24.2
20180808,19.9
20180809,17.1
20180810,15.9
20180811,15.9
20180812,19.4
20180813,20.2
20180814,19.9
20180815,20.6
20180816,19.5
20180817,17.1
20180818,18.9
20180819,22.9
20180820,22.2
20180821,22.6
20180822,19.7
20180823,20.1
20180824,15.8
20180825,14.1
20180826,14.6
20180827,16.4
20180828,18.4
20180829,16.8
20180830,15.7
20180831,16.9
20180901,18.1
20180902,18.1
20180903,18.2
20180904,16.6
20180905,18.2
20180906,16.9
20180907,14.3
20180908,14.9
20180909,19.6
20180910,18.1
20180911,20.8
20180912,13.8
20180913,14.3
20180914,14.4
20180915,16.2
20180916,17.9
20180917,21.3
20180918,20
20180919,20.2
20180920,18.9
20180921,14.2
20180922,11.9
20180923,11.9
20180924,10.5
20180925,10.8
20180926,14.7
20180927,15.9
20180928,14.8
20180929,11.8
20180930,10.5
20181001,11.8
20181002,15.2
20181003,15.6
20181004,14.6
20181005,17
20181006,10.3
20181007,10.1
20181008,12
20181009,15.2
20181010,16.8
20181011,18.1
20181012,17.5
20181013,20.6
20181014,12.9
20181015,12.9
20181016,16.4
20181017,13.7
20181018,13.1
20181019,11.1
20181020,12.3
20181021,13.7
20181022,10.2
20181023,10.9
20181024,13.7
20181025,10.2
20181026,10.2
20181027,4.7
20181028,7.3
20181029,5.7
20181030,6.7
20181031,6.7
20181101,8.3
20181102,6.1
20181103,8.7
20181104,10.8
20181105,12.1
20181106,12
20181107,12.9
20181108,9.3
20181109,9.9
20181110,11.9
20181111,10
20181112,11.9
20181113,10.9
20181114,12
20181115,12
20181116,10.8
20181117,9.4
20181118,8.2
20181119,7.3
20181120,5
20181121,4.3
20181122,2.6
20181123,4.7
20181124,8
20181125,7.5
20181126,6.2
20181127,7.7
20181128,8.2
20181129,12.9
20181130,9
20181201,9.9
20181202,12.7
20181203,12.2
20181204,6
20181205,8.4
20181206,11.3
20181207,12
20181208,9.7
20181209,9.8
20181210,6.8
20181211,5.5
20181212,5.5
20181213,3.4
20181214,1.9
20181215,3.9
20181216,5.9
20181217,7
